Losses: 
batches completed: 1, time taken: 32.51929330825806, loss: 45.95554733276367 
batches completed: 30, time taken: 8.277952671051025, loss: 223.7525873184204 
batches completed: 31, time taken: 8.271832942962646, loss: 229.43199062347412 
batches completed: 32, time taken: 8.2789945602417, loss: 235.0792088508606 
batches completed: 33, time taken: 8.282212257385254, loss: 240.49705028533936 
batches completed: 34, time taken: 8.275659084320068, loss: 245.980535030365 
batches completed: 35, time taken: 8.270386457443237, loss: 251.51502561569214 
batches completed: 36, time taken: 8.26606559753418, loss: 257.1171464920044 
batches completed: 37, time taken: 8.271007776260376, loss: 262.5341782569885 
batches completed: 38, time taken: 8.27136516571045, loss: 267.78443717956543 
batches completed: 39, time taken: 8.276241302490234, loss: 272.96938705444336 
batches completed: 40, time taken: 8.256203651428223, loss: 278.56217432022095 
batches completed: 41, time taken: 8.276330471038818, loss: 284.1001400947571 
batches completed: 42, time taken: 8.298461437225342, loss: 290.05752658843994 
batches completed: 43, time taken: 8.275758981704712, loss: 295.31587648391724 
batches completed: 44, time taken: 8.280123949050903, loss: 300.9131145477295 
batches completed: 45, time taken: 8.275647401809692, loss: 306.3369770050049 
batches completed: 46, time taken: 8.263767004013062, loss: 311.99360704421997 
batches completed: 47, time taken: 8.272340297698975, loss: 317.55919647216797 
batches completed: 48, time taken: 8.287477970123291, loss: 322.9181008338928 
batches completed: 49, time taken: 8.259710788726807, loss: 328.53807497024536 
batches completed: 50, time taken: 8.276062488555908, loss: 334.0117654800415 
batches completed: 51, time taken: 8.270807266235352, loss: 339.50590801239014 
batches completed: 52, time taken: 8.274662494659424, loss: 345.04977083206177 
batches completed: 53, time taken: 8.286759614944458, loss: 350.7434616088867 
batches completed: 54, time taken: 8.26979923248291, loss: 356.2377052307129 
batches completed: 55, time taken: 8.276251316070557, loss: 361.6837501525879 
batches completed: 56, time taken: 8.266793489456177, loss: 366.96760988235474 
batches completed: 57, time taken: 8.279844045639038, loss: 372.50865745544434 
batches completed: 58, time taken: 8.253949403762817, loss: 377.7655358314514 
batches completed: 59, time taken: 8.287060022354126, loss: 382.99327278137207 
batches completed: 60, time taken: 8.279898643493652, loss: 388.45917892456055 
batches completed: 61, time taken: 8.27289628982544, loss: 393.7432026863098 
batches completed: 62, time taken: 8.278859853744507, loss: 399.2705502510071 
batches completed: 63, time taken: 8.279787063598633, loss: 404.6688289642334 
batches completed: 64, time taken: 8.282849311828613, loss: 410.14452171325684 
batches completed: 65, time taken: 8.270618677139282, loss: 415.63613843917847 
batches completed: 66, time taken: 8.29078984260559, loss: 421.05130767822266 
batches completed: 67, time taken: 8.277517557144165, loss: 426.49731063842773 
batches completed: 68, time taken: 8.282480716705322, loss: 432.1529746055603 
batches completed: 69, time taken: 8.27087116241455, loss: 437.3333911895752 
batches completed: 70, time taken: 8.284384965896606, loss: 442.6126880645752 
batches completed: 71, time taken: 8.273484945297241, loss: 447.91446018218994 
batches completed: 72, time taken: 8.279834747314453, loss: 453.13984537124634 
batches completed: 73, time taken: 8.278550386428833, loss: 458.3833646774292 
batches completed: 74, time taken: 8.270101547241211, loss: 464.2543387413025 
batches completed: 75, time taken: 8.277435302734375, loss: 470.9169764518738 
batches completed: 76, time taken: 8.269916534423828, loss: 476.5265312194824 
batches completed: 77, time taken: 8.282130241394043, loss: 482.063916683197 
batches completed: 78, time taken: 8.275361776351929, loss: 487.29473638534546 
batches completed: 79, time taken: 8.270342826843262, loss: 492.8332796096802 
batches completed: 80, time taken: 8.282694101333618, loss: 498.56700372695923 
batches completed: 81, time taken: 8.274250984191895, loss: 504.3050374984741 
batches completed: 82, time taken: 8.269923686981201, loss: 509.96989727020264 
batches completed: 83, time taken: 8.258442163467407, loss: 515.5181150436401 
batches completed: 84, time taken: 8.275167226791382, loss: 521.1156334877014 
batches completed: 85, time taken: 8.280526161193848, loss: 526.5601835250854 
batches completed: 86, time taken: 8.268699645996094, loss: 532.1881608963013 
batches completed: 87, time taken: 8.261019468307495, loss: 537.7197046279907 
batches completed: 88, time taken: 8.264987230300903, loss: 543.0538296699524 
batches completed: 89, time taken: 8.265687942504883, loss: 548.684280872345 
batches completed: 90, time taken: 8.26495623588562, loss: 553.96706199646 
batches completed: 91, time taken: 8.27082633972168, loss: 559.4291787147522 
batches completed: 92, time taken: 8.27485203742981, loss: 565.0645179748535 
batches completed: 93, time taken: 8.265393495559692, loss: 570.5070896148682 
batches completed: 94, time taken: 8.275180339813232, loss: 575.9067158699036 
batches completed: 95, time taken: 8.267251968383789, loss: 581.3742237091064 
batches completed: 96, time taken: 8.272936344146729, loss: 586.8708033561707 
batches completed: 97, time taken: 8.272384405136108, loss: 592.2914080619812 
batches completed: 98, time taken: 8.270308017730713, loss: 597.6545305252075 
batches completed: 99, time taken: 8.28498888015747, loss: 603.3017416000366 
batches completed: 100, time taken: 8.272736310958862, loss: 608.7087569236755 
batches completed: 101, time taken: 8.260330438613892, loss: 614.262912273407 
batches completed: 102, time taken: 8.283202409744263, loss: 619.8879542350769 
batches completed: 103, time taken: 8.280886888504028, loss: 625.4202971458435 
batches completed: 104, time taken: 8.277657270431519, loss: 630.9866743087769 
batches completed: 105, time taken: 8.276305675506592, loss: 636.4305639266968 
batches completed: 106, time taken: 8.267727136611938, loss: 641.9444665908813 
batches completed: 107, time taken: 8.283724069595337, loss: 647.4586935043335 
batches completed: 108, time taken: 8.285268306732178, loss: 652.9780097007751 
batches completed: 109, time taken: 8.283837795257568, loss: 658.4286680221558 
batches completed: 110, time taken: 8.272743940353394, loss: 664.0652565956116 
batches completed: 111, time taken: 8.287256240844727, loss: 669.6727647781372 
batches completed: 112, time taken: 8.28366994857788, loss: 675.0072560310364 
batches completed: 113, time taken: 8.270562648773193, loss: 680.4855823516846 
batches completed: 114, time taken: 8.264010906219482, loss: 685.925859451294 
batches completed: 115, time taken: 8.27204179763794, loss: 691.3993244171143 
batches completed: 116, time taken: 8.277423858642578, loss: 696.8511214256287 
batches completed: 117, time taken: 8.27544355392456, loss: 702.516496181488 
batches completed: 118, time taken: 8.26356053352356, loss: 707.9772219657898 
batches completed: 119, time taken: 8.273909568786621, loss: 713.4681987762451 
batches completed: 120, time taken: 8.293665409088135, loss: 718.9994716644287 
batches completed: 121, time taken: 8.274229049682617, loss: 724.5311741828918 
batches completed: 122, time taken: 8.27895474433899, loss: 730.1165027618408 
batches completed: 123, time taken: 8.278630018234253, loss: 735.7679781913757 
batches completed: 124, time taken: 8.277663707733154, loss: 741.0202856063843 
batches completed: 125, time taken: 8.273561954498291, loss: 746.4456853866577 
batches completed: 126, time taken: 8.275086164474487, loss: 751.7708020210266 
batches completed: 127, time taken: 8.276398420333862, loss: 757.1123762130737 
batches completed: 128, time taken: 8.27781057357788, loss: 762.5770468711853 
batches completed: 129, time taken: 8.27431321144104, loss: 768.1701765060425 
batches completed: 130, time taken: 8.260727405548096, loss: 773.6817364692688 
batches completed: 131, time taken: 8.258511304855347, loss: 779.1104207038879 
batches completed: 132, time taken: 8.279356002807617, loss: 784.4639348983765 
batches completed: 133, time taken: 8.282338380813599, loss: 790.1424341201782 
batches completed: 134, time taken: 8.275089263916016, loss: 795.7560968399048 
batches completed: 135, time taken: 8.256545782089233, loss: 801.3558020591736 
batches completed: 136, time taken: 8.28695821762085, loss: 806.8061981201172 
batches completed: 137, time taken: 8.28548789024353, loss: 812.2650923728943 
batches completed: 138, time taken: 8.264162063598633, loss: 817.8706030845642 
batches completed: 139, time taken: 8.289433717727661, loss: 823.5581831932068 
batches completed: 140, time taken: 8.284895420074463, loss: 829.0146818161011 
batches completed: 141, time taken: 8.27421760559082, loss: 834.3083748817444 
batches completed: 142, time taken: 8.274547100067139, loss: 839.933277130127 
batches completed: 143, time taken: 8.270949840545654, loss: 845.6527333259583 
batches completed: 144, time taken: 8.277614116668701, loss: 851.1755776405334 
batches completed: 145, time taken: 8.2724928855896, loss: 856.6297779083252 
batches completed: 146, time taken: 8.280990362167358, loss: 862.2792754173279 
batches completed: 147, time taken: 8.284400224685669, loss: 867.7064275741577 
batches completed: 148, time taken: 8.2689368724823, loss: 873.2353658676147 
batches completed: 149, time taken: 8.272607803344727, loss: 878.7196111679077 
batches completed: 150, time taken: 8.270240306854248, loss: 884.277485370636 
batches completed: 151, time taken: 8.269293785095215, loss: 889.7984552383423 
batches completed: 152, time taken: 8.276122331619263, loss: 895.3136887550354 
batches completed: 153, time taken: 8.280730962753296, loss: 900.807131767273 
batches completed: 154, time taken: 8.285305261611938, loss: 906.309732913971 
batches completed: 155, time taken: 8.26550006866455, loss: 911.7512731552124 
batches completed: 156, time taken: 8.286491632461548, loss: 917.1392569541931 
batches completed: 157, time taken: 8.272144556045532, loss: 922.4732418060303 
batches completed: 158, time taken: 8.277373313903809, loss: 927.9310050010681 
batches completed: 159, time taken: 8.281788349151611, loss: 933.3702344894409 
batches completed: 160, time taken: 8.280983448028564, loss: 938.9490385055542 
batches completed: 161, time taken: 8.278297901153564, loss: 944.3756718635559 
batches completed: 162, time taken: 8.277167320251465, loss: 950.0670833587646 
batches completed: 163, time taken: 8.284257173538208, loss: 955.4597964286804 
batches completed: 164, time taken: 8.262606859207153, loss: 961.002908706665 
batches completed: 165, time taken: 8.278170824050903, loss: 966.2915720939636 
batches completed: 166, time taken: 8.288621425628662, loss: 971.6229672431946 
batches completed: 167, time taken: 8.276411771774292, loss: 977.3038454055786 
batches completed: 168, time taken: 8.268064498901367, loss: 982.6579918861389 
batches completed: 169, time taken: 8.273559808731079, loss: 988.0018157958984 
batches completed: 170, time taken: 8.270566463470459, loss: 993.4466004371643 
batches completed: 171, time taken: 8.27049708366394, loss: 998.8434205055237 
batches completed: 172, time taken: 8.274704694747925, loss: 1003.9691181182861 
batches completed: 173, time taken: 8.278459787368774, loss: 1009.3806805610657 
batches completed: 174, time taken: 8.273364305496216, loss: 1015.1758670806885 
batches completed: 175, time taken: 8.26497197151184, loss: 1020.6775250434875 
batches completed: 176, time taken: 8.26895022392273, loss: 1026.2269678115845 
batches completed: 177, time taken: 8.276389360427856, loss: 1031.7432718276978 
batches completed: 178, time taken: 8.281654596328735, loss: 1037.048849105835 
batches completed: 179, time taken: 8.274725675582886, loss: 1042.6122136116028 
batches completed: 180, time taken: 8.270939350128174, loss: 1048.2035551071167 
batches completed: 181, time taken: 8.29168176651001, loss: 1053.469997882843 
batches completed: 182, time taken: 8.28494668006897, loss: 1058.97398853302 
batches completed: 183, time taken: 8.274088859558105, loss: 1063.9477591514587 
batches completed: 184, time taken: 8.262405395507812, loss: 1069.4696645736694 
batches completed: 185, time taken: 8.288626909255981, loss: 1074.9268198013306 
batches completed: 186, time taken: 8.279762268066406, loss: 1080.378375530243 
batches completed: 187, time taken: 8.279956579208374, loss: 1085.1117153167725 
batches completed: 188, time taken: 8.271386861801147, loss: 1090.4909462928772 
batches completed: 189, time taken: 8.26911473274231, loss: 1095.5610127449036 
batches completed: 190, time taken: 8.263577461242676, loss: 1100.4411540031433 
batches completed: 191, time taken: 8.272453308105469, loss: 1105.4436645507812 
batches completed: 192, time taken: 8.274582147598267, loss: 1111.2508749961853 
batches completed: 193, time taken: 8.279930830001831, loss: 1116.946605682373 
batches completed: 194, time taken: 8.276451826095581, loss: 1122.7787628173828 
batches completed: 195, time taken: 8.28452467918396, loss: 1127.968952178955 
batches completed: 196, time taken: 8.278794288635254, loss: 1133.279287815094 
batches completed: 197, time taken: 8.277315616607666, loss: 1138.6213274002075 
batches completed: 198, time taken: 8.2730553150177, loss: 1144.8439316749573 
batches completed: 199, time taken: 8.26872181892395, loss: 1150.6408786773682 
batches completed: 200, time taken: 8.275078773498535, loss: 1155.9647245407104 
batches completed: 201, time taken: 8.283756256103516, loss: 1161.1222653388977 
batches completed: 202, time taken: 8.283793687820435, loss: 1166.6186199188232 
batches completed: 203, time taken: 8.278443813323975, loss: 1172.1124019622803 
batches completed: 204, time taken: 8.272824048995972, loss: 1177.612988948822 
batches completed: 205, time taken: 8.263540267944336, loss: 1183.0606894493103 
batches completed: 206, time taken: 8.270508050918579, loss: 1188.5308332443237 
batches completed: 207, time taken: 8.271825790405273, loss: 1193.99027967453 
batches completed: 208, time taken: 8.261587858200073, loss: 1199.513322353363 
batches completed: 209, time taken: 8.274810075759888, loss: 1204.919062614441 
batches completed: 210, time taken: 8.277095794677734, loss: 1210.4122595787048 
batches completed: 211, time taken: 8.268132448196411, loss: 1215.8245153427124 
batches completed: 212, time taken: 8.291887044906616, loss: 1221.3248071670532 
batches completed: 213, time taken: 8.285963296890259, loss: 1226.5209183692932 
batches completed: 214, time taken: 8.274760484695435, loss: 1232.1061267852783 
batches completed: 215, time taken: 8.272891283035278, loss: 1237.9201922416687 
batches completed: 216, time taken: 8.275251626968384, loss: 1243.4728693962097 
batches completed: 217, time taken: 8.262494087219238, loss: 1248.95898771286 
batches completed: 218, time taken: 8.267963886260986, loss: 1254.5034818649292 
batches completed: 219, time taken: 8.270318269729614, loss: 1260.0001311302185 
batches completed: 220, time taken: 8.273597955703735, loss: 1265.4561347961426 
batches completed: 221, time taken: 8.288601875305176, loss: 1270.919107913971 
batches completed: 222, time taken: 8.281178712844849, loss: 1276.4138135910034 
batches completed: 223, time taken: 8.271034955978394, loss: 1281.860785484314 
batches completed: 224, time taken: 8.271595239639282, loss: 1287.4050068855286 
batches completed: 225, time taken: 8.270795822143555, loss: 1292.8974494934082 
batches completed: 226, time taken: 8.266881465911865, loss: 1298.3304314613342 
batches completed: 227, time taken: 8.262793064117432, loss: 1303.7869992256165 
batches completed: 228, time taken: 8.277632236480713, loss: 1309.2598991394043 
batches completed: 229, time taken: 8.27413821220398, loss: 1314.7939314842224 
batches completed: 230, time taken: 8.276387453079224, loss: 1320.3393859863281 
batches completed: 231, time taken: 8.279796123504639, loss: 1325.8119597434998 
batches completed: 232, time taken: 8.268179178237915, loss: 1331.2895126342773 
batches completed: 233, time taken: 8.27285361289978, loss: 1336.6236305236816 
batches completed: 234, time taken: 8.269077062606812, loss: 1342.1144061088562 
batches completed: 235, time taken: 8.265237092971802, loss: 1347.5822124481201 
batches completed: 236, time taken: 8.267307758331299, loss: 1352.9938645362854 
batches completed: 237, time taken: 8.277604341506958, loss: 1358.418049812317 
batches completed: 238, time taken: 8.287108182907104, loss: 1363.8859524726868 
batches completed: 239, time taken: 8.287964344024658, loss: 1369.1784896850586 
batches completed: 240, time taken: 8.26491665840149, loss: 1374.6217322349548 
batches completed: 241, time taken: 8.280495643615723, loss: 1379.9591574668884 
batches completed: 242, time taken: 8.265688180923462, loss: 1385.5569281578064 
batches completed: 243, time taken: 8.268349170684814, loss: 1390.902629852295 
batches completed: 244, time taken: 8.276584386825562, loss: 1396.4429359436035 
batches completed: 245, time taken: 8.26461148262024, loss: 1401.9216208457947 
batches completed: 246, time taken: 8.269288301467896, loss: 1407.4953093528748 
batches completed: 247, time taken: 8.283742427825928, loss: 1413.1742362976074 
batches completed: 248, time taken: 8.28061819076538, loss: 1418.76740026474 
batches completed: 249, time taken: 8.263681411743164, loss: 1424.392349243164 
batches completed: 250, time taken: 8.271451473236084, loss: 1429.8016963005066 
batches completed: 251, time taken: 8.28566312789917, loss: 1435.283004283905 
batches completed: 252, time taken: 8.28098201751709, loss: 1440.777352809906 
batches completed: 253, time taken: 8.270724534988403, loss: 1446.1687712669373 
batches completed: 254, time taken: 8.275642156600952, loss: 1451.6733312606812 
batches completed: 255, time taken: 8.283223152160645, loss: 1457.1844205856323 
batches completed: 256, time taken: 8.281572103500366, loss: 1462.4559798240662 
batches completed: 257, time taken: 8.255700826644897, loss: 1467.5260529518127 
batches completed: 258, time taken: 8.278426170349121, loss: 1472.8888177871704 
batches completed: 259, time taken: 8.277323722839355, loss: 1478.7113738059998 
batches completed: 260, time taken: 8.268418550491333, loss: 1484.2145881652832 
batches completed: 261, time taken: 8.278927564620972, loss: 1489.4974293708801 
batches completed: 262, time taken: 8.271512746810913, loss: 1494.8130173683167 
batches completed: 263, time taken: 8.270544528961182, loss: 1500.0234732627869 
batches completed: 264, time taken: 8.282098054885864, loss: 1505.4297409057617 
batches completed: 265, time taken: 8.292750835418701, loss: 1510.7148666381836 
batches completed: 266, time taken: 8.280550718307495, loss: 1515.8795638084412 
batches completed: 267, time taken: 8.274185419082642, loss: 1521.4579362869263 
batches completed: 268, time taken: 8.282500505447388, loss: 1526.8131113052368 
batches completed: 269, time taken: 8.276267051696777, loss: 1532.2739634513855 
batches completed: 270, time taken: 8.268677473068237, loss: 1538.206594467163 
batches completed: 271, time taken: 8.263454914093018, loss: 1544.2140040397644 
batches completed: 272, time taken: 8.261536598205566, loss: 1549.5646109580994 
batches completed: 273, time taken: 8.282110214233398, loss: 1555.003957271576 
batches completed: 274, time taken: 8.28140926361084, loss: 1560.5929527282715 
batches completed: 275, time taken: 8.275399923324585, loss: 1565.9524703025818 
batches completed: 276, time taken: 8.276419639587402, loss: 1571.4023962020874 
batches completed: 277, time taken: 8.273052215576172, loss: 1577.0370421409607 
batches completed: 278, time taken: 8.266161680221558, loss: 1582.5662679672241 
batches completed: 279, time taken: 8.26911473274231, loss: 1588.0813193321228 
batches completed: 280, time taken: 8.275968790054321, loss: 1593.9139189720154 
batches completed: 281, time taken: 8.265013217926025, loss: 1599.5259132385254 
batches completed: 282, time taken: 8.268511056900024, loss: 1604.9244027137756 
batches completed: 283, time taken: 8.273070573806763, loss: 1610.5665798187256 
batches completed: 284, time taken: 8.267786026000977, loss: 1616.0741229057312 
batches completed: 285, time taken: 8.280652046203613, loss: 1621.4887866973877 
batches completed: 286, time taken: 8.283215284347534, loss: 1626.9118399620056 
batches completed: 287, time taken: 8.263209104537964, loss: 1632.3656606674194 
batches completed: 288, time taken: 8.274793148040771, loss: 1637.9258551597595 
batches completed: 289, time taken: 8.273019075393677, loss: 1643.5094561576843 
batches completed: 290, time taken: 8.276397705078125, loss: 1648.9200086593628 
batches completed: 291, time taken: 8.270361423492432, loss: 1654.4393911361694 
batches completed: 292, time taken: 8.272324562072754, loss: 1659.9356408119202 
batches completed: 293, time taken: 8.270942211151123, loss: 1665.3506326675415 
batches completed: 294, time taken: 8.261537790298462, loss: 1670.8194165229797 
batches completed: 295, time taken: 8.28067398071289, loss: 1676.5399265289307 
batches completed: 296, time taken: 8.269410848617554, loss: 1681.887255191803 
batches completed: 297, time taken: 8.2568039894104, loss: 1687.222351551056 
batches completed: 298, time taken: 8.26541781425476, loss: 1692.600881576538 
batches completed: 299, time taken: 8.283796310424805, loss: 1698.2300333976746 
batches completed: 300, time taken: 8.272593021392822, loss: 1703.6319332122803 
batches completed: 301, time taken: 8.265875816345215, loss: 1709.2498021125793 
batches completed: 302, time taken: 8.264758825302124, loss: 1714.6055130958557 
batches completed: 303, time taken: 8.278282165527344, loss: 1720.311945438385 
batches completed: 304, time taken: 8.285134077072144, loss: 1725.9665269851685 
batches completed: 305, time taken: 8.27317214012146, loss: 1731.3937044143677 
batches completed: 306, time taken: 8.273453950881958, loss: 1736.7684168815613 
batches completed: 307, time taken: 8.282532930374146, loss: 1742.1988062858582 
batches completed: 308, time taken: 8.274601936340332, loss: 1747.6406240463257 
batches completed: 309, time taken: 8.267116069793701, loss: 1753.0276975631714 
batches completed: 310, time taken: 8.277548551559448, loss: 1758.3040719032288 
batches completed: 311, time taken: 8.265305042266846, loss: 1763.716206073761 
batches completed: 312, time taken: 8.267575025558472, loss: 1769.2615728378296 
batches completed: 313, time taken: 8.269006252288818, loss: 1774.8695540428162 
batches completed: 314, time taken: 8.274271965026855, loss: 1780.4036417007446 
batches completed: 315, time taken: 8.266383647918701, loss: 1785.6000170707703 
batches completed: 316, time taken: 8.282064199447632, loss: 1791.1026096343994 
batches completed: 317, time taken: 8.258986711502075, loss: 1796.5322818756104 
batches completed: 318, time taken: 8.269162654876709, loss: 1801.9589552879333 
batches completed: 319, time taken: 8.274702310562134, loss: 1807.4619874954224 
batches completed: 320, time taken: 8.273761749267578, loss: 1812.8232913017273 
batches completed: 321, time taken: 8.270278930664062, loss: 1818.201222896576 
batches completed: 322, time taken: 8.279361963272095, loss: 1823.9399466514587 
batches completed: 323, time taken: 8.266510963439941, loss: 1829.2463998794556 
batches completed: 324, time taken: 8.280335187911987, loss: 1834.7502722740173 
batches completed: 325, time taken: 8.277714014053345, loss: 1840.0944738388062 
batches completed: 326, time taken: 8.276710033416748, loss: 1845.5021109580994 
batches completed: 327, time taken: 8.275198459625244, loss: 1851.0520725250244 
batches completed: 328, time taken: 8.259841442108154, loss: 1856.1372847557068 
batches completed: 329, time taken: 8.268874168395996, loss: 1861.3039855957031 
batches completed: 330, time taken: 8.282222986221313, loss: 1867.1375541687012 
batches completed: 331, time taken: 8.272077798843384, loss: 1872.6618056297302 
batches completed: 332, time taken: 8.263032674789429, loss: 1878.5261573791504 
batches completed: 333, time taken: 8.279991388320923, loss: 1884.0795540809631 
batches completed: 334, time taken: 8.270479679107666, loss: 1889.7755727767944 
batches completed: 335, time taken: 8.268720149993896, loss: 1895.1080346107483 
batches completed: 336, time taken: 8.27059006690979, loss: 1900.3895235061646 
batches completed: 337, time taken: 8.285605192184448, loss: 1905.8392114639282 
batches completed: 338, time taken: 8.289001703262329, loss: 1911.3895349502563 
batches completed: 339, time taken: 8.274998426437378, loss: 1916.8990931510925 
batches completed: 340, time taken: 8.278858661651611, loss: 1922.1982007026672 
batches completed: 341, time taken: 8.26800799369812, loss: 1927.4436292648315 
batches completed: 342, time taken: 8.282127141952515, loss: 1933.0244212150574 
batches completed: 343, time taken: 8.27458381652832, loss: 1938.4608154296875 
batches completed: 344, time taken: 8.271170139312744, loss: 1944.099886417389 
batches completed: 345, time taken: 8.276082038879395, loss: 1949.5599517822266 
batches completed: 346, time taken: 8.272312879562378, loss: 1954.7674822807312 
batches completed: 347, time taken: 8.271881341934204, loss: 1960.2060141563416 
batches completed: 348, time taken: 8.27268385887146, loss: 1965.6239137649536 
batches completed: 349, time taken: 8.271171569824219, loss: 1971.3766946792603 
batches completed: 350, time taken: 8.275470972061157, loss: 1977.2084436416626 
batches completed: 351, time taken: 8.27839732170105, loss: 1983.1790413856506 
batches completed: 352, time taken: 8.27327823638916, loss: 1988.2496852874756 
batches completed: 353, time taken: 8.269683122634888, loss: 1993.5730533599854 
batches completed: 354, time taken: 8.277500629425049, loss: 1998.9301743507385 
batches completed: 355, time taken: 8.271366357803345, loss: 2004.3255467414856 
batches completed: 356, time taken: 8.261044025421143, loss: 2009.850938796997 
batches completed: 357, time taken: 8.271100521087646, loss: 2015.0676274299622 
batches completed: 358, time taken: 8.27536416053772, loss: 2020.353063583374 
batches completed: 359, time taken: 8.268331527709961, loss: 2025.9382977485657 
batches completed: 360, time taken: 8.278565406799316, loss: 2031.230932712555 
batches completed: 361, time taken: 8.277266025543213, loss: 2036.5061316490173 
batches completed: 362, time taken: 8.269134044647217, loss: 2042.1108565330505 
batches completed: 363, time taken: 8.27853536605835, loss: 2047.4868116378784 
batches completed: 364, time taken: 8.266554355621338, loss: 2052.729868412018 
batches completed: 365, time taken: 8.282472372055054, loss: 2058.344397544861 
batches completed: 366, time taken: 8.27045488357544, loss: 2063.89310503006 
batches completed: 367, time taken: 8.275697469711304, loss: 2070.1193737983704 
batches completed: 368, time taken: 8.278024435043335, loss: 2075.197982788086 
batches completed: 369, time taken: 8.27186918258667, loss: 2080.5445342063904 
batches completed: 370, time taken: 8.27695083618164, loss: 2086.1330013275146 
batches completed: 371, time taken: 8.27294111251831, loss: 2091.251334667206 
batches completed: 372, time taken: 8.282139778137207, loss: 2096.462586402893 
batches completed: 373, time taken: 8.262490272521973, loss: 2102.0656061172485 
batches completed: 374, time taken: 8.268235206604004, loss: 2107.4493532180786 
batches completed: 375, time taken: 8.27110505104065, loss: 2112.6676688194275 
batches completed: 376, time taken: 8.2769615650177, loss: 2118.0019903182983 
batches completed: 377, time taken: 8.272461175918579, loss: 2123.4974722862244 
batches completed: 378, time taken: 8.282580137252808, loss: 2129.3341093063354 
batches completed: 379, time taken: 8.283269166946411, loss: 2134.6679577827454 
batches completed: 380, time taken: 8.276825428009033, loss: 2140.471167564392 
batches completed: 381, time taken: 8.27636432647705, loss: 2146.2700147628784 
batches completed: 382, time taken: 8.263031244277954, loss: 2152.118782520294 
batches completed: 383, time taken: 8.265955686569214, loss: 2157.2315802574158 
batches completed: 384, time taken: 8.269749164581299, loss: 2162.558506011963 
batches completed: 385, time taken: 8.279340744018555, loss: 2168.2477173805237 
batches completed: 386, time taken: 8.284701824188232, loss: 2173.791175842285 
batches completed: 387, time taken: 8.272642850875854, loss: 2178.8912081718445 
batches completed: 388, time taken: 8.272677659988403, loss: 2184.565125465393 
batches completed: 389, time taken: 8.280369758605957, loss: 2190.2684741020203 
batches completed: 390, time taken: 8.271792888641357, loss: 2195.567702293396 
batches completed: 391, time taken: 8.277733325958252, loss: 2201.458426475525 
batches completed: 392, time taken: 8.273073196411133, loss: 2207.0719499588013 
batches completed: 393, time taken: 8.258394956588745, loss: 2212.5622515678406 
batches completed: 394, time taken: 8.274022817611694, loss: 2218.1416120529175 
batches completed: 395, time taken: 8.272204637527466, loss: 2223.452353954315 
batches completed: 396, time taken: 8.260539770126343, loss: 2228.8521003723145 
batches completed: 397, time taken: 8.268486022949219, loss: 2234.328237056732 
batches completed: 398, time taken: 8.26157021522522, loss: 2239.724208831787 
batches completed: 399, time taken: 8.26134991645813, loss: 2244.95801115036 
batches completed: 400, time taken: 8.278640270233154, loss: 2250.6025199890137 
batches completed: 401, time taken: 8.275769472122192, loss: 2256.1935806274414 
batches completed: 402, time taken: 8.270610809326172, loss: 2261.6062684059143 
batches completed: 403, time taken: 8.260884523391724, loss: 2266.9883422851562 
batches completed: 404, time taken: 8.265124797821045, loss: 2272.609797000885 
batches completed: 405, time taken: 8.261558055877686, loss: 2277.992256641388 
